Source Name,RA,Dec
Bania-1,267.93716666666666,-25.850394444444447
Bania-2,267.8328333333333,-26.031913888888887
Bania-3,268.04462499999994,-26.205222222222222
Bania-4,268.06604166666665,-26.439736111111113
Bania-5,267.79479166666664,-26.62131666666667
G1.6-0.025,267.3329166666667,-27.56972222222222
Sgr D,267.17129166666666,-28.03018611111111
M0.83-0.10,266.99125000000004,-28.283333333333335
Sgr B2-East,266.93287499999997,-28.35982777777778
Sgr B2 (N),266.83375,-28.3725
Sgr B2 (M),266.83458333333334,-28.384999999999998
Sgr B2-West,266.75737499999997,-28.370886111111112
Sgr B1,266.694625,-28.53301388888889
Dust ridge,266.5479166666666,-28.619444444444444
M0.25+0.01-N,266.53208333333333,-28.69657777777778
M0.25+0.01-S,266.54291666666666,-28.72694444444444
G0.18-0.04,266.5583333333333,-28.780277777777776
M0.16-0.10,266.6116666666666,-28.85138888888889
M0.11-0.08 (`Sticks',266.55541666666664,-28.891388888888887
M0.07-0.08 (`Bricks',266.5181666666666,-28.925922222222223
Polar Arc,266.2775,-28.774166666666666
G0.07+0.04,266.40625,-28.87777777777778
M-0.02-0.07,266.4683333333333,-28.983888888888888
S. Streamer,266.41458333333327,-29.01861111111111
M-0.13-0.08-b,266.40791666666667,-29.064444444444444
M-0.13-0.08,266.4058333333333,-29.09361111111111
M-0.32-0.19,266.40708333333333,-29.30777777777778
Sgr C,266.1695833333333,-29.46638888888889
